ID,Difficulty,Question,A,B,C,D,E,Type

1, Easy,"

What is an Automation Studio activity? (Choose 3) 
33, Easy,"
What is a true statement about Subscriber Key? (Choose 3)
","
Subscriber Key determines what update types will be available when importing data ","
Subscriber Key and Primary Key are interchangeable terms ","
Subscriber Key is a unique identifier for a subscriber, and can be populated with an email address or another unique value ","
Subscriber Key is mapped to a field in a sendable data extension when defining a Send Relationship ","
Subscriber Key allows an email address to appear multiple times in a list or All Subscribers when populated with a value other than an email address ",CHECKBOX
34, Easy,"
Why should a marketer ensure that field lengths are accurate when creating a data extension? (Choose 2)
","
To determine the correct data type ","
To optimize import process speed ","
To save the data extension ","
To ensure data integrity ",CHECKBOX
35, Easy,"
How is Primary Key used?
","
Primary Key is used when defining a Send Relationship ","
Primary Key is the unique value to identify a subscriber ","
Primary Key identifies a row or a field in a data extension as unique  ","
Primary Key prevents data from being overwritten in a data extension ",CHECKBOX
36, Easy,"
Which type of data can a subscriber easily update via the Profile Center? (Choose 2)
","
Data Extension Fields ","
Email Address ","
Order History ","
List Attributes ",CHECKBOX
37, Easy,"
A marketer creates a new sendable data extension, and defines the Customer_ID field as the field in the Send Relationship that relates to Subscribers on Subscriber Key. What will the send status in All Subscribers be associated with?
","
The Customer_ID field in the Data Extension  ","
The Subscriber ID in a System Data View Table ","
The Email_Address field in the Data Extension ","
The Email Address Profile Attribute ",CHECKBOX
38, Easy,"
Northern Train Outfitters (NTO) specializes in delivering snack boxes to its members. NTO offers a 90-day trial on the snack boxes. NTO would like to send out a series of emails to educate and remind members to purchase the snack box subscription before the 90-day trial ends. Which tool is recommended for this scenario?
","
Triggered Emails ","
Guided Send ","
Automation Studio ","
Journey Builder  ",CHECKBOX
39, Easy,"
Which method of storing subscriber information allows a marketer to easily create different subscriptions that subscribers can opt into from the default Subscription Center? 
","
Lists  ","
Lists and Data Extensions ","
Data Extensions ","
Active Audiences ",CHECKBOX
40, Easy,"
Which variable can be tested using the A/B testing tool? (Choose 3)
","
IP Address ","
From Name ","
ISP ","
Pre-header ","
Email content ",CHECKBOX
41, Easy,"
Which feature can a marketer use to individualize content in an email? (Choose 2)
","
Predictive content ","
Dynamic content ","
Personalization string ","
Specialized content ",CHECKBOX
42, Easy,"
When creating a custom email with the HTML Paste Editor, which feature can be inserted into the HTML code by using the Insert Tools? (Choose 2)
","
Email Open Tracking ","
Link tooltips ","
Stored Content Boxes ","
Physical Mailing address ",CHECKBOX
43, Easy,"
Where can a marketer see the performance summary of a recent email send?
","
Overview Tab within Tracking  ","
Job Links tab within Tracking ","
Summary tab ","
Send Performance Tab ",CHECKBOX
44, Easy,"
Which feature can segment on behavioral data?
","
Tracking ","
Data Extension ","
Import Activity ","
Data Filter  ",CHECKBOX
45, Hard,"
A marketer wants to run an Account Send Summary report. Which option can be configured when running this report? (Choose 3)
","
Report results delivery location ","
Report results file format ","
Error report log location ","
Date range parameters ","
Error handling parameters ",CHECKBOX
46, Easy,"
A marketer is building a highly personalized email. The marketer wants to merge some data into a single data extension to greatly simplify the send logic, maintain the personalization, and exclude an undesired population. Which tool addresses this scenario?
","
Data filters ","
File triggers ","
Profile management ","
Query activities  ",CHECKBOX
47, Easy,"
If all subscribers reside within a single master data extension, what is the optimal way to manage unsubscribes by communication type?
","
Create a profile attribute or data extension field for each communication type, and use a boolean value to capture subscriber status ","
Create suppression lists for each communication type ","
Create separate lists or data extensions for each communication type, and create a filter to segment subscribers into the applicable lists or data extensions ","
Create publications lists for each communication type  ",CHECKBOX
48, Easy,"
An email marketer is writing the next send's subject line. What can the marketer do to make the subject line more effective? (Choose 2)
","
A/B test the effectiveness of different subjects ","
Include information relevant to the message in the subject line ","
Include ""RE:, ""FWD:"" ""etc."" to get reader's attention ","
Keep the subject text between 50 to 100 characters long ",CHECKBOX
49, Easy,"
What is required on an 'Commercial' email message by the United States CAN-SPAM Act? (Choose 2)
","
A link to the sender's website ","
A way to Unsubscribe ","
Any Mailing Address ","
Physical Mailing Address ",CHECKBOX
50, Easy,"
Which combination of audiences can be selected in the recipient section for a specific Send?
","
Lists and Data Extensions ","
Lists or Data Extensions  ","
Contacts or Audiences ","
Lists and Audiences ",CHECKBOX
51, Easy,"
 What is a function of the Content Detective tool?<!--
 /* Font Definitions */
@font-face
	{font-family:Arial;
	panose-1:2 11 6 4 2 2 2 2 2 4;
	mso-font-charset:0;
	mso-generic-font-family:auto;
	mso-font-pitch:variable;
	mso-font-signature:-536859905 -1073711037 9 0 511 0;}
@font-face
	{font-family:""Cambria Math"";
	panose-1:2 4 5 3 5 4 6 3 2 4;
	mso-font-charset:0;
	mso-generic-font-family:auto;
	mso-font-pitch:variable;
	mso-font-signature:-536870145 1107305727 0 0 415 0;}
@font-face
	{font-family:Calibri;
	panose-1:2 15 5 2 2 2 4 3 2 4;
	mso-font-charset:0;
	mso-generic-font-family:auto;
	mso-font-pitch:variable;
	mso-font-signature:-536870145 1073786111 1 0 415 0;}
 /* Style Definitions */
p.MsoNormal, li.MsoNormal, div.MsoNormal
	{mso-style-unhide:no;
	mso-style-qformat:yes;
	mso-style-parent:"""";
	margin:0cm;
	margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:12.0pt;
	font-family:Calibri;
	mso-ascii-font-family:Calibri;
	mso-ascii-theme-font:minor-latin;
	mso-fareast-font-family:Calibri;
	mso-fareast-theme-font:minor-latin;
	mso-hansi-font-family:Calibri;
	mso-hansi-theme-font:minor-latin;
	mso-bidi-font-family:""Times New Roman"";
	mso-bidi-theme-font:minor-bidi;}
.MsoChpDefault
	{mso-style-type:export-only;
	mso-default-props:yes;
	font-family:Calibri;
	mso-ascii-font-family:Calibri;
	mso-ascii-theme-font:minor-latin;
	mso-fareast-font-family:Calibri;
	mso-fareast-theme-font:minor-latin;
	mso-hansi-font-family:Calibri;
	mso-hansi-theme-font:minor-latin;
	mso-bidi-font-family:""Times New Roman"";
	mso-bidi-theme-font:minor-bidi;}
@page WordSection1
	{size:612.0pt 792.0pt;
	margin:70.85pt 3.0cm 70.85pt 3.0cm;
	mso-header-margin:36.0pt;
	mso-footer-margin:36.0pt;
	mso-paper-source:0;}
div.WordSection1
	{page:WordSection1;}
-->
","
It helps track customer traffic generated by content areas within a email ","
It helps guarantee placement of emails into the inbox ","
It helps display content in a content box ","
It helps identify spam triggers in email content and subject lines  ",CHECKBOX
52, Easy,"
A marketer wants to overwrite the data in a data extension on a daily basis using Automation Studio. What can the marketer do to accomplish this task?
","
Create an Import Activity and execute it manually ","
Create an Import Activity to use in a workflow in Automation Studio  ","
Create an import using the Import Wizard in the Email Application ","
Create an import using the Import Wizard in Automation Studio ",CHECKBOX
53, Easy,"
A marketer is importing a file using the import wizard and wants to ensure that only new records are added during the import process. How can the marketer achieve this? (Choose 2)
","
Select the update type Overwrite ","
Select the update type Add Only ","
Ensure that the data extension contains a primary key ","
Select the update type Add and Update ",CHECKBOX
54, Hard,"
A bank wants to send a series of emails to customers who open a new savings account. The first email is sent immediately after the account is opened to confirm the action. The second email is sent one day after the account is opened. The third email is sent five days after the account is opened only if the customer has not made a new deposit. The final email is sent ten days after the account has been opened and the customer still has not made a deposit, or eight days after the customer opened the account and made a deposit, but has not opened any emails. The data is stored in two data extensions. The bank has two versions of each email: English and Spanish. The bank wants to automate sending the emails. Which process could the bank use? (Choose 2)
","
Use Query Activities ","
Create a data relationship and a Measure, use Drag and Drop Segmentation to create data filters, and use Filter activities ","
Use Drag and Drop Segmentation to create data filters, and the use Filter activities ","
Use Drag and Drop Segmentation to create data filters ",CHECKBOX
55, Easy,"
Northern Train Outfitters needs to ensure that ""Valued Customer"" appears if no data exists in that field for a subscriber when using a personalization string to display the First_Name field in a data extension. How can the Marketer most easily achieve this during creation of the data extension?
","
Make ""Valued Customer"" the Default Value for the First_Name field  ","
Ensure the Nullable box is not checked for the First_Name field ","
Mark First_Name as the Primary Key ","
Fill in the source data with ""Valued Customer"" for each blank First_Name field ",CHECKBOX
56, Easy,"
A marketer wants to ensure that customers on a list want to be email subscribers. Additionally, the marketer wants to minimize the number of invalid email addresses on the list, and add a level of security when using Web Collect functionality. What is the optimal way to accomplish this task?
","
Create a double opt-in campaign that requires subscribers to confirm their email address by clicking a link in an email they receive after subscribing via Web Collect  ","
Configure Web Collect to return an error message for any email address that does not conform to standard conventions ","
Send a welcome email to subscribers within 24 hours that includes a link to the website, a link to the terms and conditions page, and a customer service number ","
Add new subscribers to an automated engagement campaign, and then send a series of welcome emails based on their opens and clicks ",CHECKBOX
57, Easy,"
A marketer is using an import activity on a nightly basis to import subscriber data into a data extension. What is a true statement about the import activity? (Choose 3)
","
An import activity can be used in an automation created in Automation Studio ","
The file for an import activity must be placed in a folder on a FTP site ","
The file for an import activity can be on a desktop computer ","
The import activity is under Subscribers in the Email Application ","
An import activity can be executed manually ",CHECKBOX
58, Easy,"
A marketing manager is reporting on the degree of customer engagement with the company's email. Which metric can be used?
","
List Growth Rates ","
Influenced Revenue ","
Click Through Rates  ","
Bounce Rate ",CHECKBOX
59, Easy,"
A local restaurant chain wants to send an email to customers seven days prior to their birthday. The restaurant has one non-technical marketer who has limited experience with the Marketing Cloud. The owner wants the birthday email campaign to start tomorrow. Which tool can the non-technical marketer use most easily to segment and send the birthday email?
","
Query Activity ","
Automation Studio ","
Journey Builder  ","
User-initiated email ",CHECKBOX
60, Easy,"
A marketer needs to create an attribute named Gender that has a drop-down menu with appropriate values in the Profile Center. How can this be accomplished? (Choose 2)
","
Select the data type as Text ","
Set a custom maximum length of six ","
Create restricted values ","
Select the attribute as required ",CHECKBOX
61, Easy,"
What is a purpose of marking an attribute as hidden?
","
The attribute is not available to store data ","
The attribute is not available to subscribers on the Profile Center  ","
The attribute is not available to other users in the account ","
The attribute is not available for CAN-SPAM compliance ",CHECKBOX
62, Easy,"
Which file type delimiter is available in the Import Wizard? (Choose 3)
","
Fixed Length ","
Pipe ","
Comma ","
Tab ","
Other ",CHECKBOX
63, Easy,"
What is a true statement about the Master Unsubscribe? (Choose 3)
","
Subscribers can contact the Salesforce Marketing Cloud to unsubscribe ","
Subscribers can be manually unsubscribed in Subscriber Properties ","
Subscribers can be Master unsubscribed via an import to All Subscribers ","
Subscribers can log in to the Salesforce Marketing Cloud to unsubscribe ","
Subscribers can Master unsubscribe themselves via the Subscription Center ",CHECKBOX
64, Easy,"
A marketing associate at Northern Trail Outfitters must create an email campaign for the company's new winter offerings. Which method could the associate use to create the email message? (Choose 2)
","
Email Send Wizard ","
User-initiated email message ","
Email templates ","
HTML Paste ",CHECKBOX
65, Easy,"
Northern Train Outfitters wants the From Name on the monthly Newsletter to come from a specific User who is set up in the Marketing Cloud. Which feature would be used to set up this From Name selection?
","
Sender Profile  ","
Delivery Profile ","
Can-SPAM classification ","
Content information ",CHECKBOX
66, Easy,"
Which tactic will improve deliverability for a new sender? 
","
Send email to a minimum of 35,000 subscribers per ISP per day ","
Send email to ISPs that have been notified of the new sender ","
Send email to the most active and engaged customers  ","
Send email during the holiday season when new senders are less likely to be detected ",CHECKBOX
67, Easy,"
Which metric is the measure of emails rejected by a server due to permanent conditions such as ""user unknown"" or ""domain not found""?
","
Validation Error ","
Soft Bounce ","
Unsubscribed ","
Hard Bounce  ",CHECKBOX
68, Easy,"
What is an Automation Studio activity? (Choose 3)
","
A/B Test Send Activity ","
Transfer File Activity ","
Wait Activity   ","
Triggered Send (Your Answer) ","
Send Email   ",CHECKBOX
69, Easy,"

As part of a weekly email automation, a client needs to segment data in a Data Extension. Which activity is designed to address this scenario? 
",Import Activity ,File Transfer Activity ,Group Refresh  ,Query Activity  ,CHECKBOX
70, Hard,"
A marketer needs to share report results with a manager. When using Reports in the Marketing Cloud, which option can be used to deliver the report to the manager? (Choose 3)
","
Save the report as a Snapshot ","
Save the report to an FTP folder ","
Print the report from Reports ","
Email the report ","
Include a link to the report in an email ",CHECKBOX
71, Easy,"
A marketer wants to grow the company's email subscriber list via social channels and its mobile app. Which best practice can the marketer use to grow the subscriber list? (Choose 2)
","
Provide and opt-in checkbox on the mobile app registration form ","
Promote content on social channels that requests an email address ","
Search Facebook fans' profiles for mail addresses ","
Send unsolicited requests on Twitter to sign up for email ",CHECKBOX
72, Easy,"
How are the test audiences for an A/B test selected? (Choose 2)
","
The test administrator chooses which subscribers to place in each audience ","
The system automatically uses 15% of the population for each audience ","
The system randomly places target subscribers into the selected audiences ","
The test administrator selects a percentage or a fixed number of target subscribers from the total for each audience ",CHECKBOX
73, Hard,"
An account has a Subscriber Key enabled, and will be providing a unique key for each subscriber from an external system. A marketer wants to create a data extension for sending email campaigns. What steps would the marketer take when creating the data extension? (Choose 2)
","
Check the ""Is Sendable"" option  ","
Set the column representing the Subscriber Key as a Primary Key ","
Set the Email address column as a Primary Key ","
Relate the Email address to the Suscriber Key ",CHECKBOX
74, Hard,"
How is Primary Key used?
","
Primary Key is used when defining a Send Relationship ","
Primary Key is the unique value to identify a subscriber ","
Primary Key identifies a row or a field in a data extension as unique ","
Primary Key prevents data from being overwritten in a data extension  ",CHECKBOX
75, Easy,"
A marketer wants to create an email that will look great on both a desktop computer and a mobile device. However the marketer is not familiar with writing code for responsive design and does not have available resources to design the email. Which template can the marketer choose when creating an email?
","
Responsive Web template ","
Media template ","
Mobile-optimized template  ","
Standard template ",CHECKBOX
76, Easy,"
A marketer needs to create an attribute named Gender that has a drop-down menu with appropriate values in the Profile Center. How can this be accomplished? (Choose 2)
","
Select the data type as Text ","
Set a custom maximum length of six ","
Create restricted values ","
Select the attribute as required ",CHECKBOX
77, Easy,"
A marketer wants to overwrite the data in a data extension on a daily basis using Automation Studio. What can the marketer do to accomplish this task?
","
Create an Import Activity and execute it manually ","
Create an Import Activity to use in a workflow in Automation Studio  ","
Create an import using the Import Wizard in the Email Application ","
Create an import using the Import Wizard in Automation Studio ",CHECKBOX
78, Easy,"
Northern Train Outfitters wants to display different content areas based on the subscriber data. What can be used to accomplish this? (Choose 2)
","
Profile Mapping ","
AMPscript ","
Dynamic Content ","
Personalization Strings ",CHECKBOX
79, Easy,"
A marketing associate at Northern Trail Outfitters must create an email campaign for the company's new winter offerings. Which method could the associate use to create the email message? (Choose 2)
","
Email Send Wizard ","
User-initiated email message ","
Email templates ","
HTML Paste ",CHECKBOX
80, Easy,"
A new data extension named ""Orders"" contains order data. One row is recorded for each customer's order. Customers can place multiple orders. The data extension Orders relates to other data extensions. The data extension Orders contains the following fields:OrderNumber: a unique alphanumeric order numbercustomerID: a numeric customer identification numberOrderDate: the system date and time for the orderInstructions: an optional alphanumeric string that contains customer delivery notes. Which statement accurately reflects the configuration of the Orders Data Extension?
","
The OrderNumber field will be a Number data type field ","
All fields in the data extension are nullable ","
CustomerID will be used as the Primary Key "," 
OrderNumber will be used as the Primary Key  ",CHECKBOX
81, Easy,"
A marketer would like to install the Salesforce Marketing Cloud Connector. Where can an installation guide be found?
","
AppExchange  ","
Help and Training Portal ","
Help.exacttarget.com ","
Code.exacttarget.com ",CHECKBOX
82, Easy,"
A marketing team is creating a new data extension. The data extension schema is very similar to a data extension that already exists. How would the team create the new data extension?
","
Create from template ","
Create a filtered data extension ","
Create new ","
Create from existing  ",CHECKBOX
83, Easy,"
A national landscape company wants to send targeted emails to customers to remind them of their upcoming lawn treatment. Depending on the service, clients will receive either one or two emails. The data for the campaign is in two separate data extensions. Customer Number is a Primary Key field in both data extensions. Which tool can be used to segment the data? (Choose 2)
","
Drag & Drop Segmentation ","
Data Extract Activity ","
Send Definition ","
Query Activity ",CHECKBOX
84, Easy,"
A marketing team needs to narrow down a customer population of several million subscribers based on eCommerce order details, and rapidly explore the data to find appropriate segments. How can segmentation with this scenario be accomplished?
","
Data Extract Activity ","
Audience Builder ","
Drag and Drop Segmentation  ","
Profile Attributes ",CHECKBOX
85, Easy,"
A marketing associate wants to use the Validate button to ensure an email is CAN-SPAM compliant. What information does the associate need to provide in order for the email to pass validation? (Choose 2)
","
Profile Center URL ","
Company Website URL ","
Physical Mailing Address ","
Terms and Conditions Policy ",CHECKBOX
86, Easy,"
A marketer wants website visitors to have the option to subscribe to specific publications and make updates to their profile. Which tool would the marketer use in this scenario?
","
Subscriber Group ","
Send Log ","
Data Filter ","
Web Collect  ",CHECKBOX
87, Easy,"
A marketing associate at Northern Trail Outfitters must design an email campaign for the company's new winter offerings. Which email design best practice would the associate implement in this campaign?
","
Limit the email text to 250 words ","
Personalize the email content  ","
Segment the audience for the email ","
Use an infographic email template ",CHECKBOX
88, Easy,"
Northern Train Outfitters wants to identify subscribers with something other than an email address. What value can be used to accommodate this?
","
Subscriber Key  ","
Subscriber Attributes ","
Primary Key ","
System Preferences ",CHECKBOX
89, Easy,"
An email marketer is writing the next send's subject line. What can the marketer do to make the subject line more effective? (Choose 2)
","
A/B test the effectiveness of different subjects ","
Include information relevant to the message in the subject line ","
Include ""RE:, ""FWD:"" ""etc."" to get reader's attention ","
Keep the subject text between 50 to 100 characters long ",CHECKBOX
90, Easy,"
How can AMPscript customize email messages?
","
Provide advanced content personalization  ","
Insert responsive content based on the user's viewing device. ","
Automate the flow of creating email messages. ","
Automate the template creation process. ",CHECKBOX
91, Hard,"
A marketer wants to use personalization strings to create individualized content for an upcoming send. What would the marketer need to know to understand how to use personalization strings? (Choose 3)
","
Personalization strings are case sensitive ","
Personalization strings are noted by two sets of double percent symbols ","
Personalization strings can appear in the subject line or body of the email ","
When using subscriber data, the attribute or field should have a default value ","
Personalization strings are limited to profile attributes ",CHECKBOX
92, Easy,"
A marketer sends an email to a sendable data extension. The data extension has a send relationship that matches Customer_ID on the data extension to subscriber Key in All Subscribers. What is a true statement regarding the email send behavior?
","
The email will be sent to the Subscriber Key in All Subscribers ","
The email will be sent to the email address stored on the Data Extension ","
The email will be sent to the field marked as the Primary Key ","
The email will be sent to the email address stored in All Subscribers  ",CHECKBOX
93, Easy,"
A marketing manager is reporting on the degree of customer engagement with the company's email. Which metric can be used?
","
Click Through Rates  ","
List Growth Rates ","
Influenced Revenue ","
Bounce Rate ",CHECKBOX
94, Easy,"
Northern Train Outfitters wants to maintain enterprise-wide opt-outs for two segments of its subscribers: Education Events and Sales. Which feature would the company use?
","
Shared Emails ","
Shared Portfolio Items ","
Shared Data Extensions ","
Shared Publication Lists  ",CHECKBOX
95, Easy,"
A marketer wants to ensure that emails follow the basic brand guidelines. Which feature helps ensure emails have the correct layout and logos?
","
Email templates  ","
Preference Management ","
Portfolio ","
Data Extensions ",CHECKBOX
96, Easy,"
A marketer sends an email to a sendable data extension that contains a Customer_ID field with a numeric data type that relates to the Subscriber Key in All Subscribers as a Send Relationship. What is a true statement about the email send behavior for any subscriber who currently does NOT exist in All Subscribers? (Choose 2)
","
The Primary Key and demographic data will be added to All Subscribers ","
The email address and Subscriber Key will be added to All Subscribers ","
The subscriber will be added to All Subscribers with a status of Active ","
The email send will fail ",CHECKBOX
97, Easy,"
Northern Train Outfitters wants to grow its email subscriber list. Which best practice can the company use to increase the number of subscribers? (Choose 2)
","
Offer email opt-in when customers create an account ","
Use incentives such as a discount or free shipping to encourage opt-in ","
Capture email addresses through the use of browser cookies ","
Send emails to a purchased list with a request to opt-in ",CHECKBOX
98, Hard,"
A marketer wants to run an Account Send Summary report. Which option can be configured when running this report? (Choose 3)
","
Report results delivery location ","
Report results file format ","
Error report log location ","
Date range parameters ","
Error handling parameters ",CHECKBOX
99, Easy,"
As part of a weekly email automation, a client needs to segment data in a Data Extension. Which activity is designed to address this scenario?
","
Import Activity ","
File Transfer Activity ","
Group Refresh   ","
Query Activity  ",CHECKBOX
